anchor,positive,negative
"Ngành Quản lý công nghiệp học những môn gì trong Học Kỳ 3 năm Nhất?","Trong Học Kỳ 3 năm Nhất, ngành Quản lý công nghiệp học Hình học và vẽ kỹ thuật + BTL, Giáo dục thể chất 3, Tư tưởng Hồ Chí Minh, Lịch sử Đảng Cộng sản Việt Nam, Kinh tế vi mô, Kinh tế vĩ mô, Nhập môn ngành Quản lý công nghiệp.","Trong Học Kỳ 3 năm Nhất, ngành Quản lý công nghiệp học các môn về kinh tế, tư tưởng Hồ Chí Minh và nhập môn ngành."
"Ngành Quản lý công nghiệp học những môn gì trong Học Kỳ 4 năm Nhất?","Trong Học Kỳ 4 năm Nhất, ngành Quản lý công nghiệp học Marketing căn bản, Quản trị học, Quản lý sản xuất trong DN công nghiệp, An toàn sức khỏe và môi trường trong DN công nghiệp, Cơ sở kỹ thuật cơ khí.","Trong Học Kỳ 4 năm Nhất, ngành Quản lý công nghiệp học các môn quản trị, sản xuất công nghiệp, marketing và kỹ thuật cơ khí."
"Ngành Quản lý công nghiệp học những môn gì trong Học Kỳ 5 năm Nhất?","Trong Học Kỳ 5 năm Nhất, ngành Quản lý công nghiệp học Thống kê kinh tế doanh nghiệp, Tin học ứng dụng trong kinh tế, Quản trị tài chính, Quản trị nhân lực, Nguyên lý kế toán.","Trong Học Kỳ 5 năm Nhất, ngành Quản lý công nghiệp học các môn về thống kê, quản trị tài chính, nhân lực và kế toán."
"Ngành Quản lý công nghiệp học những môn gì trong Học Kỳ 6 năm Nhất?","Trong Học Kỳ 6 năm Nhất, ngành Quản lý công nghiệp học Khởi nghiệp kinh doanh, Quản trị chất lượng, Định mức kinh tế kỹ thuật trong DN công nghiệp, Tiếng Anh chuyên ngành quản lý công nghiệp, Quản lý công nghệ, Đồ án phân tích kinh tế hoạt động kinh doanh DN công nghiệp.","Trong Học Kỳ 6 năm Nhất, ngành Quản lý công nghiệp học các môn về quản trị chất lượng, công nghệ và phân tích kinh tế hoạt động kinh doanh."
"Ngành Quản lý công nghiệp học những môn gì trong Học Kỳ 7 năm Nhất?","Trong Học Kỳ 7 năm Nhất, ngành Quản lý công nghiệp học Quản lý dự án công nghiệp, Logistics và quản lý chuỗi cung ứng, Quản lý bảo trì công nghiệp, Lập kế hoạch và điều độ sản xuất + BTL, Phân tích kinh tế hoạt động kinh doanh DN Công nghiệp.","Trong Học Kỳ 7 năm Nhất, ngành Quản lý công nghiệp học các môn về quản lý dự án, logistics và bảo trì công nghiệp."
"Ngành Quản lý công nghiệp học những môn gì trong Học Kỳ 8 năm Nhất?","Trong Học Kỳ 8 năm Nhất, ngành Quản lý công nghiệp học Luận văn tốt nghiệp, Thực tập doanh nghiệp.","Trong Học Kỳ 8 năm Nhất, ngành Quản lý công nghiệp học luận văn tốt nghiệp và thực tập doanh nghiệp."
"Ngành Quản lý công nghiệp có học môn Quản trị học không?","Ngành Quản lý công nghiệp học môn Quản trị học trong Học Kỳ 4 năm Nhất.","Ngành Quản lý công nghiệp không học môn Quản trị học."
"Ngành Quản lý công nghiệp có học môn Quản lý sản xuất trong DN công nghiệp không?","Ngành Quản lý công nghiệp học môn Quản lý sản xuất trong DN công nghiệp trong Học Kỳ 4 năm Nhất.","Ngành Quản lý công nghiệp không học môn Quản lý sản xuất trong DN công nghiệp."
"Ngành Quản lý công nghiệp có học môn Kinh tế vi mô không?","Ngành Quản lý công nghiệp học môn Kinh tế vi mô trong Học Kỳ 3 năm Nhất.","Ngành Quản lý công nghiệp không học môn Kinh tế vi mô."
"Ngành Quản lý công nghiệp có học môn Marketing căn bản không?","Ngành Quản lý công nghiệp học môn Marketing căn bản trong Học Kỳ 4 năm Nhất.","Ngành Quản lý công nghiệp không học môn Marketing căn bản."
"Ngành Quản lý công nghiệp có học môn Quản trị tài chính không?","Ngành Quản lý công nghiệp học môn Quản trị tài chính trong Học Kỳ 5 năm Nhất.","Ngành Quản lý công nghiệp không học môn Quản trị tài chính."
"Ngành Quản lý công nghiệp có học môn Quản lý chất lượng không?","Ngành Quản lý công nghiệp học môn Quản lý chất lượng trong Học Kỳ 6 năm Nhất.","Ngành Quản lý công nghiệp không học môn Quản lý chất lượng."
"Ngành Quản lý công nghiệp có học môn Quản lý dự án công nghiệp không?","Ngành Quản lý công nghiệp học môn Quản lý dự án công nghiệp trong Học Kỳ 7 năm Nhất.","Ngành Quản lý công nghiệp không học môn Quản lý dự án công nghiệp."
"Ngành Quản lý công nghiệp có học môn Logistics và quản lý chuỗi cung ứng không?","Ngành Quản lý công nghiệp học môn Logistics và quản lý chuỗi cung ứng trong Học Kỳ 7 năm Nhất.","Ngành Quản lý công nghiệp không học môn Logistics và quản lý chuỗi cung ứng."
"Ngành Quản lý công nghiệp có học môn Lập kế hoạch và điều độ sản xuất không?","Ngành Quản lý công nghiệp học môn Lập kế hoạch và điều độ sản xuất trong Học Kỳ 7 năm Nhất.","Ngành Quản lý công nghiệp không học môn Lập kế hoạch và điều độ sản xuất."
"Ngành Quản lý công nghiệp có học môn Tiếng Anh chuyên ngành quản lý công nghiệp không?","Ngành Quản lý công nghiệp học môn Tiếng Anh chuyên ngành quản lý công nghiệp trong Học Kỳ 6 năm Nhất.","Ngành Quản lý công nghiệp không học môn Tiếng Anh chuyên ngành quản lý công nghiệp."
"Ngành Quản lý công nghiệp có học môn Đồ án phân tích kinh tế hoạt động kinh doanh DN công nghiệp không?","Ngành Quản lý công nghiệp học môn Đồ án phân tích kinh tế hoạt động kinh doanh DN công nghiệp trong Học Kỳ 6 năm Nhất.","Ngành Quản lý công nghiệp không học môn Đồ án phân tích kinh tế hoạt động kinh doanh DN công nghiệp."
"Ngành Quản lý công nghiệp có học môn Thực tập doanh nghiệp không?","Ngành Quản lý công nghiệp học môn Thực tập doanh nghiệp trong Học Kỳ 8 năm Nhất.","Ngành Quản lý công nghiệp không học môn Thực tập doanh nghiệp."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 1 năm Nhất?","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật cơ điện tử học Đại số tuyến tính, Giải tích 1, Vật lý đại cương 1, Tiếng Anh 1, Giáo dục thể chất 1, Nhập môn về kỹ thuật cơ điện tử.","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật cơ điện tử học các môn toán học, vật lý cơ bản, tiếng Anh và nhập môn về ngành."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 2 năm Nhất?","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật cơ điện tử học Giải tích 2, Thí nghiệm vật lý 1, Hóa học đại cương phần 1 + TN, Hình học và vẽ kỹ thuật + BTL, Cơ lý thuyết 1, Tiếng Anh 2, Giáo dục thể chất 2.","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật cơ điện tử học các môn về toán, vật lý, hóa học và kỹ thuật cơ khí cơ bản."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 3 năm Nhất?","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật cơ điện tử học Giáo dục thể chất 3, Pháp luật đại cương, Sức bền vật liệu + BTL, Kỹ thuật lập trình hướng đối tượng với C++ + BTL, Kỹ thuật điện - điện tử, Cơ sở kỹ thuật cơ khí, Tin học ứng dụng trong cơ khí.","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật cơ điện tử học các môn về cơ khí, điện tử, lập trình và sức bền vật liệu."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 4 năm Nhất?","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật cơ điện tử học Trang bị điện trong hệ thống cơ điện tử, Kỹ thuật điều khiển tự động, Cơ học máy, Kỹ thuật thủy lực và khí nén, Thực tập cơ sở kỹ thuật cơ khí, Công tác quốc phòng - an ninh.","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật cơ điện tử học các môn về điều khiển tự động, cơ khí, thủy lực và khí nén."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 5 năm Nhất?","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật cơ điện tử học Vi điều khiển và ứng dụng, Thí nghiệm kỹ thuật điện - điện tử, Đồ án thiết kế truyền động cơ khí, Công nghệ chế tạo máy, Thực tập thủy lực và khí nén, Tự động hóa thiết kế cơ khí, Động lực học và điều khiển robot.","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật cơ điện tử học các môn về vi điều khiển, tự động hóa, chế tạo máy và điều khiển robot."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 6 năm Nhất?","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật cơ điện tử học Triết học Mác - Lênin, Thực tập kỹ thuật điều khiển, Đồ án công nghệ chế tạo máy, Công nghệ gia công CNC, Tự động hóa thiết kế cơ khí, Thiết kế hệ thống cơ điện tử.","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật cơ điện tử học các môn về CNC, thiết kế cơ điện tử và tự động hóa."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 7 năm Nhất?","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật cơ điện tử học Kinh tế chính trị Mác - Lênin, Lịch sử Đảng Cộng sản Việt Nam, Đồ án thiết kế hệ thống cơ điện tử, Thực tập cơ khí, Đường lối quân sự của Đảng, Quân sự chung và chiến thuật.","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật cơ điện tử học các môn về hệ thống cơ điện tử, cơ khí và quân sự."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 8 năm Nhất?","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật cơ điện tử học Tư tưởng Hồ Chí Minh, Chủ nghĩa xã hội khoa học, Tổ chức quản lý sản xuất và an toàn công nghiệp, Thực tập cơ điện tử.","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật cơ điện tử học các môn về quản lý sản xuất và an toàn công nghiệp."
"Ngành Kỹ thuật cơ điện tử học những môn gì trong Học Kỳ 9 năm Nhất?","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật cơ điện tử học Thực tập doanh nghiệp, Luận văn tốt nghiệp.","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật cơ điện tử học thực tập và hoàn thành luận văn tốt nghiệp."
"Ngành Kỹ thuật cơ điện tử có học môn Kỹ thuật điều khiển tự động không?","Ngành Kỹ thuật cơ điện tử học môn Kỹ thuật điều khiển tự động trong Học Kỳ 4 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Kỹ thuật điều khiển tự động."
"Ngành Kỹ thuật cơ điện tử có học môn Vi điều khiển và ứng dụng không?","Ngành Kỹ thuật cơ điện tử học môn Vi điều khiển và ứng dụng trong Học Kỳ 5 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Vi điều khiển và ứng dụng."
"Ngành Kỹ thuật cơ điện tử có học môn Cơ học máy không?","Ngành Kỹ thuật cơ điện tử học môn Cơ học máy trong Học Kỳ 4 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Cơ học máy."
"Ngành Kỹ thuật cơ điện tử có học môn Đồ án thiết kế truyền động cơ khí không?","Ngành Kỹ thuật cơ điện tử học môn Đồ án thiết kế truyền động cơ khí trong Học Kỳ 5 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Đồ án thiết kế truyền động cơ khí."
"Ngành Kỹ thuật cơ điện tử có học môn Thực tập thủy lực và khí nén không?","Ngành Kỹ thuật cơ điện tử học môn Thực tập thủy lực và khí nén trong Học Kỳ 5 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Thực tập thủy lực và khí nén."
"Ngành Kỹ thuật cơ điện tử có học môn Công nghệ gia công CNC không?","Ngành Kỹ thuật cơ điện tử học môn Công nghệ gia công CNC trong Học Kỳ 6 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Công nghệ gia công CNC."
"Ngành Kỹ thuật cơ điện tử có học môn Thiết kế hệ thống cơ điện tử không?","Ngành Kỹ thuật cơ điện tử học môn Thiết kế hệ thống cơ điện tử trong Học Kỳ 6 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Thiết kế hệ thống cơ điện tử."
"Ngành Kỹ thuật cơ điện tử có học môn Đồ án công nghệ chế tạo máy không?","Ngành Kỹ thuật cơ điện tử học môn Đồ án công nghệ chế tạo máy trong Học Kỳ 6 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Đồ án công nghệ chế tạo máy."
"Ngành Kỹ thuật cơ điện tử có học môn Tổ chức quản lý sản xuất và an toàn công nghiệp không?","Ngành Kỹ thuật cơ điện tử học môn Tổ chức quản lý sản xuất và an toàn công nghiệp trong Học Kỳ 8 năm Nhất.","Ngành Kỹ thuật cơ điện tử không học môn Tổ chức quản lý sản xuất và an toàn công nghiệp."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 1 năm Nhất?","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật cơ khí động lực học Đại số tuyến tính, Giải tích 1, Vật lý đại cương 1, Tiếng Anh 1, Giáo dục thể chất 1, Nhập môn Kỹ thuật Cơ khí Động lực.","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật cơ khí động lực học các môn toán, vật lý, tiếng Anh và nhập môn cơ khí động lực."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 2 năm Nhất?","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật cơ khí động lực học Giải tích 2, Thí nghiệm vật lý 1, Hóa học đại cương phần 1 + TN, Hình học và vẽ kỹ thuật + BTL, Tiếng Anh 2, Giáo dục thể chất 2, Triết học Mác - Lênin, Tự chọn A (Cơ Khí Động Lực).","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật cơ khí động lực học các môn về toán học, vật lý, hóa học và lý thuyết cơ khí động lực."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 3 năm Nhất?","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật cơ khí động lực học Cơ lý thuyết 1, Giáo dục thể chất 3, Kinh tế chính trị Mác - Lênin, Sức bền vật liệu + BTL, Kỹ thuật thủy khí, Nguyên lý máy + BTL, Tin học ứng dụng trong cơ khí, Tự chọn A (Cơ Khí Động Lực).","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật cơ khí động lực học các môn cơ học, thủy khí, sức bền vật liệu và kỹ thuật máy."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 4 năm Nhất?","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật cơ khí động lực học Chủ nghĩa xã hội khoa học, Cơ sở thiết kế máy, Kỹ thuật đo + BTL, Thí nghiệm vật liệu kỹ thuật, Vật liệu kỹ thuật, Thực hành kỹ thuật đo, Kỹ thuật truyền động thủy khí, Đường lối quân sự của Đảng.","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật cơ khí động lực học các môn về thiết kế máy, vật liệu kỹ thuật và thủy khí."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 5 năm Nhất?","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật cơ khí động lực học Lịch sử Đảng Cộng sản Việt Nam, Kỹ thuật điện - điện tử, Đồ án thiết kế truyền động cơ khí, Lý thuyết cánh, Công nghệ chế tạo máy, Thí nghiệm kỹ thuật thủy khí, Nhiệt động kỹ thuật, Giáo dục quốc phòng 3.","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật cơ khí động lực học các môn về thiết kế truyền động, công nghệ chế tạo máy và thủy khí."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 6 năm Nhất?","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật cơ khí động lực học Pháp luật đại cương, Đồ án công nghệ chế tạo máy, Thí nghiệm bơm cánh dẫn và tuabin, Máy thủy khí, Nguyên lý động cơ đốt trong, Quân sự chung và chiến thuật.","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật cơ khí động lực học các môn về động cơ đốt trong, máy thủy khí và chế tạo máy."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 7 năm Nhất?","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật cơ khí động lực học Tư tưởng Hồ Chí Minh, Thí nghiệm truyền động Thủy lực - Khí nén, Truyền động - Tự động khí nén, Truyền động - Tự động thủy lực thể tích, Đồ án bơm cánh dẫn và tuabin, Thực tập cơ khí.","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật cơ khí động lực học các môn về truyền động thủy lực, khí nén và tuabin."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 8 năm Nhất?","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật cơ khí động lực học Đồ án Truyền động Thủy lực - Khí nén.","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật cơ khí động lực học các môn về đồ án truyền động thủy lực và khí nén."
"Ngành Kỹ thuật cơ khí động lực học những môn gì trong Học Kỳ 9 năm Nhất?","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật cơ khí động lực học Đồ án tốt nghiệp, Thực tập doanh nghiệp.","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật cơ khí động lực học thực tập và hoàn thành đồ án tốt nghiệp."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 1 năm Nhất?","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật ô tô học Đại số tuyến tính, Giải tích 1, Thí nghiệm vật lý 1, Vật lý đại cương 1, Tiếng Anh 1, Giáo dục thể chất 1, Nhập môn về kỹ thuật Ô tô.","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật ô tô học các môn cơ bản về toán, vật lý, tiếng Anh và nhập môn kỹ thuật ô tô."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 2 năm Nhất?","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật ô tô học Giải tích 2, Hình học và vẽ kỹ thuật + BTL, Cơ học kỹ thuật 1, Tiếng Anh 2, Giáo dục thể chất 2, Sức bền vật liệu + BTL, Hệ thống truyền động thủy khí, Kỹ thuật cơ khí 1.","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật ô tô học các môn về cơ học, vật liệu và kỹ thuật truyền động."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 3 năm Nhất?","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật ô tô học Kỹ năng giao tiếp và làm việc theo nhóm, Giáo dục thể chất 3, Kỹ thuật điện - điện tử, Thí nghiệm kỹ thuật điện - điện tử, Cấu tạo ô tô, Nguyên lý động cơ đốt trong, Tin học ứng dụng trong cơ khí, Kỹ thuật cơ khí 2.","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật ô tô học các môn về cấu tạo ô tô, động cơ đốt trong và kỹ thuật điện tử."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 4 năm Nhất?","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật ô tô học Hóa học đại cương phần 1 + TN, Pháp luật đại cương, Hệ thống điều khiển tự động, Thực hành hệ thống điều khiển tự động, Lý thuyết ô tô, Tiếng Anh chuyên ngành, Đồ án kỹ thuật cơ khí, Kỹ thuật an toàn và môi trường.","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật ô tô học các môn về hệ thống điều khiển ô tô, an toàn và môi trường."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 5 năm Nhất?","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật ô tô học Triết học Mác - Lênin, Công nghệ chế tạo máy, Đồ án môn học lý thuyết Ô tô, Hệ thống cơ điện tử trên Ô tô, Thiết kế và tính toán Ô tô 1, Ứng dụng phần mềm trong thiết kế và mô phỏng, Thực tập cơ khí.","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật ô tô học các môn về thiết kế ô tô, hệ thống cơ điện tử và ứng dụng phần mềm."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 6 năm Nhất?","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật ô tô học Kinh tế chính trị Mác - Lênin, Hệ thống điện Ô tô, Công nghệ sản xuất và lắp ráp ô tô, Điều hòa không khí trong ô tô, Chẩn đoán Ô tô, Thiết kế và tính toán Ô tô 2, Công tác quốc phòng - an ninh.","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật ô tô học các môn về hệ thống điện, sản xuất và chẩn đoán ô tô."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 7 năm Nhất?","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật ô tô học Tư tưởng Hồ Chí Minh, Lịch sử Đảng Cộng sản Việt Nam, Tổ chức và quản lý vận tải ô tô, Bảo dưỡng và sửa chữa Ô tô, Đồ án thiết kế và tính toán Ô tô, Thực hành bảo dưỡng và sửa chữa Ô tô, Đường lối quân sự của Đảng.","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật ô tô học các môn về bảo dưỡng, sửa chữa và quản lý vận tải ô tô."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 8 năm Nhất?","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật ô tô học Thực tập doanh nghiệp, Quân sự chung và chiến thuật.","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật ô tô học thực tập doanh nghiệp và quân sự."
"Ngành Kỹ thuật ô tô học những môn gì trong Học Kỳ 9 năm Nhất?","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật ô tô học Đồ án tốt nghiệp, Thực tập doanh nghiệp.","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật ô tô học thực tập doanh nghiệp và hoàn thành đồ án tốt nghiệp."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 1 năm Nhất?","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Giải tích 1, Đại số tuyến tính và toán rời rạc, Tiếng Anh 1, Giáo dục thể chất 1, Hệ thống máy tính và ngôn ngữ lập trình, Nhập môn kỹ thuật RB - AI, Thực tập hệ thống máy tính và ngôn ngữ lập trình.","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học các môn toán học, lập trình và nhập môn về Robot và AI."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 2 năm Nhất?","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Giải tích 2, Thí nghiệm vật lý 1, Vật lý đại cương 1, Tiếng Anh 2, Giáo dục thể chất 2, Cấu trúc dữ liệu và thuật toán, Cơ sở kỹ thuật cơ khí.","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học các môn về cấu trúc dữ liệu, vật lý và kỹ thuật cơ khí."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 3 năm Nhất?","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Phương pháp tính & Xác suất thống kê, Giáo dục thể chất 3, Thực tập kỹ thuật số-logic, Mô hình hóa và mô phỏng Robot, Robot project 1, Kỹ thuật số và logic, Kỹ thuật điện tử tương tự, Kỹ thuật điện.","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học các môn về xác suất thống kê, mô phỏng robot và kỹ thuật điện tử."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 4 năm Nhất?","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Ngôn ngữ lập trình Python, Thực tập lý thuyết điều khiển tự động, Cơ sở và thiết kế hệ thống IoT, Lý thuyết điều khiển tự động 2, Robot project 2, Đồ án thiết kế cơ khí, Đường lối quốc phòng và an ninh của Đảng CSVN.","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học các môn về lập trình, điều khiển tự động và thiết kế hệ thống IoT."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 5 năm Nhất?","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Pháp luật đại cương, Đồ án kỹ thuật đo lường và điều khiển bằng máy tính, Đo lường công nghiệp, Kỹ thuật đo lường và điều khiển bằng máy tính, Kỹ thuật robot, Mạng truyền thông công nghiệp, Thực tập truyền động điện, Cảm biến và cơ cấu chấp hành Robot, Truyền động Robot, Công tác quốc phòng và an ninh.","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học các môn về đo lường, truyền động và cảm biến trong robot."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 6 năm Nhất?","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Triết học Mác - Lênin, Chủ nghĩa xã hội khoa học, Điều khiển logic và lập trình PLC, Robot project 3, Trí tuệ nhân tạo và ứng dụng, Quản sự chung.","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học các môn về lập trình PLC, trí tuệ nhân tạo và quản lý."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 7 năm Nhất?","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Tư tưởng Hồ Chí Minh, Kinh tế chính trị Mác - Lênin, Điều hòa quá trình sản xuất công nghiệp, Đề cương thực tập doanh nghiệp, Ngoại ngữ chuyên môn, Đường lối sử dụng tiểu liên AK và chiến thuật.","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học các môn về quản lý sản xuất công nghiệp, ngoại ngữ chuyên môn và chiến thuật quân sự."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 8 năm Nhất?","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Thực tập doanh nghiệp.","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học thực tập tại doanh nghiệp."
"Ngành Kỹ thuật Robot và trí tuệ nhân tạo học những môn gì trong Học Kỳ 9 năm Nhất?","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học Lịch sử Đảng Cộng sản Việt Nam, Luận văn tốt nghiệp.","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật Robot và trí tuệ nhân tạo học hoàn thành luận văn tốt nghiệp."
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 1 năm Nhất?","Trong Học Kỳ 1 năm Nhất, ngành Đá quý Đá mỹ nghệ học Giải tích 1, Vật lý đại cương 1, Tiếng Anh 1, Giáo dục thể chất 1, Pháp luật đại cương, Triết học Mác - Lênin, Kỹ năng giao tiếp và làm việc theo nhóm.","Trong Học Kỳ 1 năm Nhất, ngành Đá quý Đá mỹ nghệ học các môn về giải tích, vật lý, pháp luật và kỹ năng giao tiếp."
